#bin	frequency	peak0	peak1	peak2	peak3	peak4	peak5
0.07001	1.63445602637e-15	1.63445602551e-15	8.64197856306e-25	8.41866418327e-72	2.46366691447e-142	2.26912031122e-240	0.0
0.07051	1.78161663545e-15	1.78161663453e-15	9.19712525217e-25	9.33502438286e-72	2.8465718121e-142	2.73627617388e-240	0.0
0.07101	1.94184850675e-15	1.94184850577e-15	9.78762456544e-25	1.03508022652e-71	3.28888420159e-142	3.29950369745e-240	0.0
0.07151	2.11629643087e-15	2.11629642983e-15	1.04157078173e-24	1.14767481831e-71	3.79980496422e-142	3.97853877292e-240	0.0
0.07201	2.30620400186e-15	2.30620400075e-15	1.10837458707e-24	1.27247710809e-71	4.38995748062e-142	4.79716719631e-240	0.0
0.07251	2.51292201545e-15	2.51292201427e-15	1.17942577832e-24	1.41080629389e-71	5.07160716666e-142	5.78405482205e-240	0.0
0.07301	2.7379175698e-15	2.73791756855e-15	1.25499199833e-24	1.5641236538e-71	5.85891483039e-142	6.97374769549e-240	0.0
0.07351	2.98278392669e-15	2.98278392535e-15	1.33535760099e-24	1.73404779666e-71	6.76822905106e-142	8.40787693088e-240	0.0
0.07401	3.24925119538e-15	3.24925119396e-15	1.42082468477e-24	1.92237154426e-71	7.81842357957e-142	1.01366102037e-239	0.0
0.07451	3.53919790698e-15	3.53919790547e-15	1.51171418974e-24	2.13108061872e-71	9.03128668066e-142	1.22204002789e-239	0.0
0.07501	3.85466355199e-15	3.85466355038e-15	1.60836706158e-24	2.3623743278e-71	1.04319703986e-141	1.47320912947e-239	0.0
0.07551	4.19786216e-15	4.19786215829e-15	1.71114548692e-24	2.61868846062e-71	1.20495089532e-141	1.77594559179e-239	0.0
0.07601	4.57119700672e-15	4.5711970049e-15	1.82043420417e-24	2.90272062946e-71	1.39174168833e-141	2.14082514183e-239	0.0
0.07651	4.97727654022e-15	4.97727653828e-15	1.93664189452e-24	3.21745831797e-71	1.60743791854e-141	2.58059006742e-239	0.0
0.07701	5.41893162597e-15	5.41893162391e-15	2.06020265779e-24	3.5662099238e-71	1.85650475694e-141	3.11059257638e-239	0.0
0.07751	5.89923421782e-15	5.89923421563e-15	2.19157757852e-24	3.95263911423e-71	2.14409591205e-141	3.74932878378e-239	0.0
0.07801	6.42151757097e-15	6.42151756864e-15	2.3312563875e-24	4.38080284728e-71	2.47615961493e-141	4.51908183239e-239	0.0
0.07851	6.98939812204e-15	6.98939811956e-15	2.47975922467e-24	4.85519344785e-71	2.85956088909e-141	5.44669642593e-239	0.0
0.07901	7.60679917146e-15	7.60679916882e-15	2.63763850938e-24	5.38078517004e-71	3.30222260312e-141	6.56451159784e-239	0.0
0.07951	8.27797651404e-15	8.27797651124e-15	2.8054809247e-24	5.96308572212e-71	3.81328818596e-141	7.91148400702e-239	0.0
0.08001	9.00754617533e-15	9.00754617235e-15	2.98390952234e-24	6.60819328153e-71	4.40330932608e-141	9.53454063478e-239	0.0
0.08051	9.80051442367e-15	9.8005144205e-15	3.17358595578e-24	7.32285958252e-71	5.08446248351e-141	1.14902076798e-238	0.0
0.08101	1.06623102416e-14	1.06623102382e-14	3.37521284906e-24	8.1145597213e-71	5.87079862984e-141	1.38465719839e-238	0.0
0.08151	1.15988204545e-14	1.1598820451e-14	3.58953630958e-24	8.99156939122e-71	6.77853130651e-141	1.66856427988e-238	0.0
0.08201	1.26164277306e-14	1.26164277268e-14	3.81734859346e-24	9.96305033633e-71	7.82636887007e-141	2.01061955145e-238	0.0
0.08251	1.37220516818e-14	1.37220516777e-14	4.05949093274e-24	1.10391448946e-70	9.03589769027e-141	2.42271955959e-238	0.0
0.08301	1.49231933159e-14	1.49231933116e-14	4.316856534e-24	1.22310805943e-70	1.0432024101e-140	2.91919209758e-238	0.0
0.08351	1.62279831069e-14	1.62279831023e-14	4.59039375881e-24	1.35512858693e-70	1.20434840963e-140	3.51729252261e-238	0.0
0.08401	1.76452329735e-14	1.76452329686e-14	4.88110949689e-24	1.50135180701e-70	1.39034311362e-140	4.23780127996e-238	0.0
0.08451	1.91844924781e-14	1.91844924729e-14	5.19007274353e-24	1.66330050739e-70	1.60501140127e-140	5.10574324894e-238	0.0
0.08501	2.08561095827e-14	2.08561095772e-14	5.51841839349e-24	1.8426601932e-70	1.85276585469e-140	6.15125372e-238	0.0
0.08551	2.26712963248e-14	2.26712963189e-14	5.86735126444e-24	2.04129641475e-70	2.13869689962e-140	7.4106208591e-238	0.0
0.08601	2.46421998046e-14	2.46421997984e-14	6.23815036351e-24	2.26127393404e-70	2.46867674675e-140	8.92754058786e-238	0.0
0.08651	2.67819789056e-14	2.6781978899e-14	6.63217341172e-24	2.50487792464e-70	2.84947924294e-140	1.07546271141e-237	0.0
0.08701	2.91048872031e-14	2.9104887196e-14	7.05086164151e-24	2.77463741987e-70	3.28891806314e-140	1.29552311375e-237	0.0
0.08751	3.16263625512e-14	3.16263625437e-14	7.49574488382e-24	3.07335124677e-70	3.79600604462e-140	1.560562833e-237	0.0
0.08801	3.43631238767e-14	3.43631238687e-14	7.96844696196e-24	3.40411670864e-70	4.38113889218e-140	1.87976534138e-237	0.0
0.08851	3.73332757487e-14	3.73332757403e-14	8.47069141058e-24	3.77036130628e-70	5.05630697537e-140	2.26418704643e-237	0.0
0.08901	4.05564213379e-14	4.05564213289e-14	9.00430753921e-24	4.17587781884e-70	5.83533950578e-140	2.72713884773e-237	0.0
0.08951	4.40537844265e-14	4.40537844169e-14	9.57123686072e-24	4.62486309875e-70	6.73418603559e-140	3.28464533886e-237	0.0
0.09001	4.78483411804e-14	4.78483411702e-14	1.01735399068e-23	5.12196097275e-70	7.77124097168e-140	3.95599743747e-237	0.0
0.09051	5.19649624516e-14	5.19649624408e-14	1.08134034529e-23	5.67230968181e-70	8.96771766629e-140	4.76441743106e-237	0.0
0.09101	5.64305674359e-14	5.64305674244e-14	1.1493148178e-23	6.28159433882e-70	1.03480796447e-139	5.73785928072e-237	0.0
0.09151	6.1274289576e-14	6.12742895637e-14	1.22152367839e-23	6.95610493254e-70	1.19405376806e-139	6.90997166095e-237	0.0
0.09201	6.65276556683e-14	6.65276556553e-14	1.29822826018e-23	7.70280046253e-70	1.37776227563e-139	8.32125679043e-237	0.0
0.09251	7.22247792052e-14	7.22247791914e-14	1.37970587163e-23	8.52937985049e-70	1.58968464707e-139	1.00204648144e-236	0.0
0.09301	7.84025690627e-14	7.8402569048e-14	1.46625076349e-23	9.44436034175e-70	1.83414622184e-139	1.20662715653e-236	0.0
0.09351	8.51009547296e-14	8.5100954714e-14	1.55817515382e-23	1.04571641851e-69	2.11613424879e-139	1.45292972291e-236	0.0
0.09401	9.23631293652e-14	9.23631293486e-14	1.65581031433e-23	1.15782144621e-69	2.44139899611e-139	1.74945351065e-236	0.0
0.09451	1.00235812071e-13	1.00235812053e-13	1.75950772179e-23	1.28190410281e-69	2.81657027844e-139	2.10642736918e-236	0.0
0.09501	1.08769530864e-13	1.08769530846e-13	1.86964027824e-23	1.41923976287e-69	3.24929174747e-139	2.5361612154e-236	0.0
0.09551	1.18018927965e-13	1.18018927946e-13	1.98660360427e-23	1.5712391365e-69	3.74837564927e-139	3.05346895938e-236	0.0
0.09601	1.28043089113e-13	1.28043089092e-13	2.11081740944e-23	1.73946258076e-69	4.32398116162e-139	3.67617728382e-236	0.0
0.09651	1.38905898772e-13	1.3890589875e-13	2.2427269446e-23	1.92563591897e-69	4.98781989795e-139	4.42573768603e-236	0.0
0.09701	1.50676423237e-13	1.50676423213e-13	2.38280454092e-23	2.13166792664e-69	5.75339270837e-139	5.32796271756e-236	0.0
0.09751	1.63429323759e-13	1.63429323734e-13	2.53155124062e-23	2.35966965863e-69	6.63626253579e-139	6.41391159571e-236	0.0
0.09801	1.77245302032e-13	1.77245302005e-13	2.68949852499e-23	2.61197581097e-69	7.65436880668e-139	7.72095545875e-236	0.0
0.09851	1.92211580508e-13	1.92211580479e-13	2.8572101453e-23	2.8911683307e-69	8.82838966733e-139	9.29405866413e-236	0.0
0.09901	2.08422420212e-13	2.08422420181e-13	3.03528406275e-23	3.20010250944e-69	1.0182159334e-138	1.11873198964e-235	0.0
0.09951	2.25979678943e-13	2.25979678911e-13	3.22435450385e-23	3.54193582105e-69	1.17431489265e-138	1.34658257073e-235	0.0
