# one_x_offset	two_x_offset	two_amplitude	one_amplitude
-2.274059408570360745e-06 -3.800594621363389365e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.702059368183763462e-06 2.319940461502445265e-06 1.000000000000000000e+00 1.000000000000000000e+00
5.999410877646967224e-07 2.103941045228671801e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.184058833498406083e-06 8.359410810901608970e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.268055308854889956e-06 5.559445547130726647e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.644059947441443980e-06 2.247939885921415838e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.542065120600225963e-06 1.343934712932325444e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.026064642422168495e-06 2.531935256950719358e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.962531512765348026e-06 -2.407709862587240141e-06 1.219087406909425297e+00 5.129594694962877899e-01
-4.008061669998805559e-06 -7.320617626504130333e-07 1.000000000000000000e+00 1.000000000000000000e+00
9.904582018910178614e-07 1.131191103588064784e-06 5.639021924765389437e-01 1.463593736955767000e+00
-4.512061655744712949e-06 3.129938128124766808e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.984050146612933518e-06 -2.048050173084821368e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.302092363828000163e-06 -2.448205351566764304e-06 8.588049851709512739e-01 1.066916896584291008e+00
-4.700060495193052847e-06 1.589939326913598248e-06 1.000000000000000000e+00 1.000000000000000000e+00
-8.851500558200315446e-08 2.613475517031858462e-07 1.292096275683235929e+00 6.731660606112707113e-01
-9.280565585511980296e-07 5.759433989127770494e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.317957366519939427e-07 4.519742996137531694e-06 1.465415926293263560e+00 1.003477746899053447e+00
-3.698065144470176118e-06 1.093934720002808309e-06 1.000000000000000000e+00 1.000000000000000000e+00
-8.550853685334528219e-07 -9.844001982591026444e-07 8.849840142690027500e-01 8.687036569116536322e-01
-4.032059358850725232e-06 2.523940455732932094e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.038066924270167826e-06 2.911932935734271430e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.782121700659047596e-07 2.204260773614851070e-07 1.036723362257983228e+00 7.780455689480394454e-01
1.759382116695923509e-07 2.345938150297801075e-06 1.000000000000000000e+00 1.000000000000000000e+00
