# one_x_offset	two_x_offset	two_amplitude	one_amplitude
-8.160652259787025954e-07 -5.006524764266209634e-08 1.000000000000000000e+00 1.000000000000000000e+00
-2.860066323405091670e-06 -7.820663821749452511e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.758059944217303793e-06 3.167939859902038891e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.600061709819765060e-06 1.305938179711010644e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.898690841320017265e-06 -4.265827376303590247e-06 1.151328372720120674e+00 8.284232635674513290e-01
-3.830065140736961165e-06 9.159347250369921100e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.594062808660251555e-06 1.719370565480630907e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.898064040142995766e-06 -4.000640825093290982e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.700065116131680791e-06 -8.440652251868085144e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.648064047213478632e-06 6.519358877380790023e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.774063437750695311e-06 7.639364621878311714e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.010380298537427062e-06 -1.606025731369897820e-06 9.527696608146072332e-01 9.849770241202571164e-01
-2.156064032846257448e-06 1.431935865678172461e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.642685701555302383e-06 -7.849236737619771807e-07 7.488879257690659319e-01 8.736207665560487001e-01
-4.820065112737849016e-06 2.517934679729337906e-06 1.000000000000000000e+00 1.000000000000000000e+00
9.759353009574047152e-07 2.189935266623139919e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.230064551806860086e-06 -1.180646681021622638e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.626058820997792377e-06 -1.150058862741923217e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.133936451723516530e-06 2.409936415635771983e-06 1.000000000000000000e+00 1.000000000000000000e+00
2.020657973157248168e-06 2.591702415031592290e-06 8.770107585880712042e-01 9.840038725052082658e-01
1.751113992965885213e-06 2.247307333310078736e-06 1.055694415791626373e+00 1.015711956744743238e+00
-3.576066303155228742e-06 3.115933507582085904e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.668064595983237032e-06 -8.400646476826077472e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.612067513935599122e-06 9.839324126445067985e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.203331071995261814e-06 -2.935989895949674928e-06 1.111462891625171201e+00 7.174536471996212361e-01
-2.022062881401379279e-06 2.641936986691692376e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.600060498021245994e-06 2.289939307116246223e-06 1.000000000000000000e+00 1.000000000000000000e+00
9.086741747307522612e-07 1.978177461105699809e-06 1.002865564796328712e+00 1.031057653134867858e+00
-2.500594658129908738e-07 2.363940460258040281e-06 1.000000000000000000e+00 1.000000000000000000e+00
3.699358957135836750e-07 2.461935836547783054e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.037932411117282499e-06 3.589932338941793405e-06 1.000000000000000000e+00 1.000000000000000000e+00
-6.117280219027099121e-07 -5.866338779656771577e-07 8.734853842542651403e-01 1.054920983979975579e+00
-4.722065693126806792e-06 1.837934121343722808e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.718061706482497147e-06 8.519381925510075286e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.252067467553231522e-06 -3.606755850792310879e-08 1.000000000000000000e+00 1.000000000000000000e+00
1.199978337015355045e-06 1.332698294464373235e-06 8.730496011287468550e-01 9.793238657407956627e-01
-2.646061708518796212e-06 -6.806178142961552503e-08 1.000000000000000000e+00 1.000000000000000000e+00
-3.888065139096609140e-06 1.459934709651621394e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.506869674447407777e-06 -4.506364236930469961e-06 1.006795615343866857e+00 8.117568476491592300e-01
-3.402062842372313859e-06 1.053937031603399540e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.559343817116096521e-06 -9.749089394593636511e-07 1.149511654938064842e+00 6.789985196421384206e-01
2.182470582633890580e-07 8.426311120395986638e-07 6.945523947610540150e-01 9.266052266162290163e-01
-2.294683170690522397e-06 -2.932789689082135384e-06 5.821526791165967385e-01 8.915773175591622524e-01
-1.414060588127479636e-06 2.443939302760828778e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.874861233945724649e-07 3.045753469489383665e-07 1.242761289412493309e+00 5.322777318524896106e-01
-2.410063448045318364e-06 1.013936455117348306e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.260863703095318115e-06 -8.093700607860296939e-07 7.429339578416422896e-01 8.061980790833593868e-01
9.879370334700070166e-07 2.415936993083408887e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.846059364111164484e-06 -1.220594694330772540e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.568061076543596294e-06 8.679387697158242712e-07 1.000000000000000000e+00 1.000000000000000000e+00
-1.880058264478784755e-06 5.899416656648445300e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.961007878704664174e-06 2.922919306637870808e-06 1.004640835124234188e+00 6.389247044303497658e-01
-8.300629151134415829e-07 2.819370534370506298e-07 1.000000000000000000e+00 1.000000000000000000e+00
-5.000051255444620818e-06 -1.635768239910591289e-06 1.464717845122892825e+00 1.061464898572108684e+00
-3.466059952475626933e-06 2.887939867820980548e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.886062251066529691e-06 -8.806235848130538875e-08 1.000000000000000000e+00 1.000000000000000000e+00
-4.388062236869000096e-06 1.999376333734983498e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.860600367557835414e-07 3.279939856734462567e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.564054722866109750e-06 1.535945104614108324e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.616062258702652033e-06 -2.662062285683614649e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.140066315486150860e-06 -7.860663820618175252e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.434062813185360589e-06 -3.060629299331736697e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.740065143282334996e-06 -1.854065196622057736e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.154063976338958384e-06 1.289935869694206729e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.788059971650777313e-06 7.193994746289870203e-08 1.000000000000000000e+00 1.000000000000000000e+00
-4.791564800960647595e-07 7.904815601269163622e-07 9.505468355304015349e-01 9.489092982592508552e-01
